#           time             x_1             y_1             x_2                 y_2         theta_1         theta_2              y2         omega_2
     12.40000000     -0.16802183      1.00707033     -1.00436123      1.55528233      6.19907526      4.13216413     -2.15102118     -0.20714019
     12.50000000      0.11889654      1.00353723     -0.71885843      1.54958357      6.34266865      4.13475139     -2.14843392      0.25730374
     12.60000000      0.40921661      1.04231214     -0.45397133      1.54719489      6.48924883      4.18314285      0.00000000      0.00000000
     12.70000000      0.69481219      1.12457044     -0.21126042      1.54769268      6.63798879      4.27550051      0.00000000      0.00000000
     12.80000000      0.96646291      1.24901472      0.01199715      1.54733522      6.78752729      4.40945644      0.00000000      0.00000000
     12.90000000      1.21500364      1.41136343      0.22343348      1.54093433      6.93609704      4.58245276      0.00000000      0.00000000
     13.00000000      1.43242472      1.60423518      0.43557496      1.52492208      7.08154506      4.79178547      0.00000000      0.00000000
     13.10000000      1.61287771      1.81736503      0.66426750      1.50091810      7.22129006      5.03437056      0.00000000      0.00000000
     13.20000000      1.75357283      2.03823999      0.92493205      1.47845926      7.35232352      5.30651014      0.00000000      0.00000000
     13.30000000      1.85538064      2.25329879      1.22724515      1.47519481      7.47136346      5.60403065      0.00000000      0.00000000
     13.40000000      1.92277230      2.44959408      1.57032131      1.51376381      7.57518083      5.92299644      0.00000000      0.00000000
     13.50000000      1.96286881      2.61640381      1.94051753      1.61665363      7.66098771      6.26083216      0.00000000      0.00000000
     13.60000000      1.98383347      2.74621907      2.31183231      1.80154095      7.72674816      6.61736975      0.00000000      0.00000000
     13.70000000      1.99319758      2.83518676      2.64643375      2.07803254      7.77148146      6.99503603      0.00000000      0.00000000
     13.80000000      1.99665388      2.88435709      2.89375936      2.44254065      7.79612791      7.39635919      0.00000000      0.00000000
     13.90000000      1.99767633      2.90361917      2.99695673      2.86568905      7.80577254      7.81604242      0.00000000      0.00000000
     14.00000000      1.99812879      2.91350518      2.92635395      3.28552405      7.81072073      8.23516470      0.00000000      0.00000000
     14.10000000      1.99892144      2.93432608      2.70866284      3.63878840      7.82113877      8.63564692      0.00000000      0.00000000
     14.20000000      1.99985425      2.97585506      2.39841516      3.89299693      7.84190887      9.01483076      0.00000000      0.00000000
     14.30000000      1.99959466      3.04026408      2.04444620      4.03925774      7.87411503      9.37991137      0.00000000      0.00000000
     14.40000000      1.99595225      3.12717939      1.68579493      4.07786464      7.91761426      9.74013647      0.00000000      0.00000000
     14.50000000      1.98609377      3.23543901      1.35781692      4.01342886      7.97197474     10.10411432      0.00000000      0.00000000
     14.60000000      1.96682391      3.36277226      1.09735115      3.85675315      8.03637741     10.47891195      0.00000000      0.00000000
     14.70000000      1.93539183      3.50424049      0.94346334      3.63103907      8.10885229     10.86843345      0.00000000      0.00000000
