#                             t                            ox                            oy                            oz
                   10.32000000             -6347077.59396348            -19514552.73886568             14510393.46283440
                   10.33000000             -5920861.97559171            -19648067.48886856             14510393.46283440
                   10.34000000             -5491841.51310517            -19772274.51193854             14510393.46283440
                   10.35000000             -5060219.44304689            -19887114.96844397             14510393.46283440
                   10.36000000             -4626200.23439929            -19992534.45590428             14510393.46283440
                   10.37000000             -4189989.49172274            -20088483.03476167             14510393.46283440
                   10.38000000             -3751793.85775602            -20174915.25203852             14510393.46283440
                   10.39000000             -3311820.91552512            -20251790.16286958             14510393.46283440
                   10.40000000             -2870279.09000652            -20319071.34989836             14510393.46283440
                   10.41000000             -2427377.54939162            -20376726.94052891             14510393.46283440
                   10.42000000             -1983326.10599914            -20424729.62202456             14510393.46283440
                   10.43000000             -1538335.11688235            -20463056.65444657             14510393.46283440
                   10.44000000             -1092615.38417823            -20491689.88142654             14510393.46283440
                   10.45000000              -646378.05524581            -20510615.73876749             14510393.46283440
                   10.46000000              -199834.52264100            -20519825.26086952             14510393.46283440
                   10.47000000               246803.67602482            -20519314.08497703             14510393.46283440
                   10.48000000               693324.95829483            -20509082.45324544             14510393.46283440
                   10.49000000              1139517.79709812            -20489135.21262645             14510393.46283440
                   10.50000000              1585170.82095476            -20459481.81257200             14510393.46283440
                   10.51000000              2030072.91410717            -20420136.30055778             14510393.46283440
                   10.52000000              2474013.31653038            -20371117.31542867             14510393.46283440
                   10.53000000              2916781.72377370            -20312448.07856909             14510393.46283440
                   10.54000000              3358168.38658666            -20244156.38290254             14510393.46283440
                   10.55000000              3797964.21028189            -20166274.57972542             14510393.46283440
                   10.56000000              4235960.85378791            -20078839.56338155             14510393.46283440
                   10.57000000              4671950.82834494            -19981892.75378449             14510393.46283440
                   10.58000000              5105727.59579698            -19875480.07679597             14510393.46283440
                   10.59000000              5537085.66643346            -19759651.94246983             14510393.46283440
                   10.60000000              5965820.69633437            -19634463.22117162             14510393.46283440
                   10.61000000              6391729.58417246            -19499973.21758534             14510393.46283440
                   10.62000000              6814610.56742689            -19356245.64261941             14510393.46283440
                   10.63000000              7234263.31796263            -19203348.58322547             14510393.46283440
                   10.64000000              7650489.03693034            -19041354.47014403             14510393.46283440
                   10.65000000              8063090.54894183            -18870340.04359245             14510393.46283440
                   10.66000000              8471872.39547642            -18690386.31691134             14510393.46283440
                   10.67000000              8876640.92747397            -18501578.53818680             14510393.46283440
                   10.68000000              9277204.39707079            -18304006.14986644             14510393.46283440
                   10.69000000              9673373.04843486            -18097762.74638858             14510393.46283440
                   10.70000000             10064959.20765738            -17882946.02984440             14510393.46283440
                   10.71000000             10451777.37165807            -17659657.76369432             14510393.46283440
                   10.72000000             10833644.29606213            -17428003.72456041             14510393.46283440
                   10.73000000             11210379.08200718            -17188093.65211759             14510393.46283440
                   10.74000000             11581803.26183906            -16940041.19710756             14510393.46283440
                   10.75000000             11947740.88365594            -16683963.86749989             14510393.46283440
                   10.76000000             12308018.59466066            -16419982.97282586             14510393.46283440
                   10.77000000             12662465.72328178            -16148223.56671148             14510393.46283440
                   10.78000000             13010914.36002455            -15868814.38763675             14510393.46283440
                   10.79000000             13353199.43701333            -15581887.79794943             14510393.46283440
                   10.80000000             13689158.80618794            -15287579.72116200             14510393.46283440
                   10.81000000             14018633.31611682            -14986029.57756171             14510393.46283440
                   10.82000000             14341466.88739054            -14677380.21816406             14510393.46283440
                   10.83000000             14657506.58656019            -14361777.85704109             14510393.46283440
                   10.84000000             14966602.69858528            -14039372.00205654             14510393.46283440
                   10.85000000             15268608.79775711            -13710315.38404065             14510393.46283440
                   10.86000000             15563381.81706390            -13374763.88443812             14510393.46283440
                   10.87000000             15850782.11596482            -13032876.46146366             14510393.46283440
                   10.88000000             16130673.54654080            -12684815.07479990             14510393.46283440
                   10.89000000             16402923.51799083            -12330744.60887352             14510393.46283440
                   10.90000000             16667403.05944321            -11970832.79474580             14510393.46283440
                   10.91000000             16923986.88105189            -11605250.13065467             14510393.46283440
                   10.92000000             17172553.43334906            -11234169.80124595             14510393.46283440
                   10.93000000             17412984.96482585            -10857767.59553188             14510393.46283440
                   10.94000000             17645167.57771384            -10476221.82361598             14510393.46283440
                   10.95000000             17868991.28194096            -10089713.23222356             14510393.46283440
                   10.96000000             18084350.04723626             -9698424.91907801             14510393.46283440
                   10.97000000             18291141.85335878             -9302542.24616330             14510393.46283440
                   10.98000000             18489268.73842679             -8902252.75191387             14510393.46283440
                   10.99000000             18678636.84532458             -8497746.06237355             14510393.46283440
                   11.00000000             18859156.46616463             -8089213.80136545             14510393.46283440
                   11.01000000             19030742.08478421             -7676849.49971548             14510393.46283440
                   11.02000000             19193312.41725633             -7260848.50357250             14510393.46283440
                   11.03000000             19346790.45039570             -6841407.88186853             14510393.46283440
                   11.04000000             19491103.47824165             -6418726.33296276             14510393.46283440
                   11.05000000             19626183.13650051             -5993004.09051374             14510393.46283440
                   11.06000000             19751965.43493133             -5564442.82862424             14510393.46283440
                   11.07000000             19868390.78765945             -5133245.56630373             14510393.46283440
                   11.08000000             19975404.04140370             -4699616.57129378             14510393.46283440
                   11.09000000             20072954.50160367             -4263761.26330184             14510393.46283440
                   11.10000000             20160995.95643494             -3825886.11668939             14510393.46283440
                   11.11000000             20239486.69870057             -3386198.56266042             14510393.46283440
                   11.12000000             20308389.54558877             -2944906.89099666             14510393.46283440
                   11.13000000             20367671.85628722             -2502220.15138608             14510393.46283440
                   11.14000000             20417305.54744574             -2058348.05439136             14510393.46283440
                   11.15000000             20457267.10648000             -1613500.87210540             14510393.46283440
                   11.16000000             20487537.60270996             -1167889.33854067             14510393.46283440
                   11.17000000             20508102.69632776              -721724.54979989             14510393.46283440
                   11.18000000             20518952.64519079              -275217.86407503             14510393.46283440
                   11.19000000             20520082.30943676               171419.19847769             14510393.46283440
                   11.20000000             20511491.15391860               617975.05593966             14510393.46283440
                   11.21000000             20493183.24845792              1064238.16486094             14510393.46283440
                   11.22000000             20465167.26591708              1509997.12047307             14510393.46283440
                   11.23000000             20427456.47809067              1955040.75683626             14510393.46283440
                   11.24000000             20380068.74941831              2399158.24687333             14510393.46283440
                   11.25000000             20323026.52852196              2842139.20224328             14510393.46283440
                   11.26000000             20256356.83757141              3283773.77300686             14510393.46283440
                   11.27000000             20180091.25948333              3723852.74703716             14510393.46283440
                   11.28000000             20094265.92295975              4162167.64912811             14510393.46283440
                   11.29000000             19998921.48537304              4598510.83975374             14510393.46283440
                   11.30000000             19894103.11350567              5032675.61343174             14510393.46283440
                   11.31000000             19779860.46215363              5464456.29664435             14510393.46283440
                   11.32000000             19656247.65060392              5893648.34527058             14510393.46283440
                   11.33000000             19523323.23699698              6320048.44148323             14510393.46283440
                   11.34000000             19381150.19058644              6743454.59006513             14510393.46283440
                   11.35000000             19229795.86190913              7163666.21409874             14510393.46283440
                   11.36000000             19069331.95087971              7580484.24998390             14510393.46283440
                   11.37000000             18899834.47282473              7993711.24173871             14510393.46283440
                   11.38000000             18721383.72247256              8403151.43453881             14510393.46283440
                   11.39000000             18534064.23591594              8808610.86745078             14510393.46283440
                   11.40000000             18337964.75056536              9209897.46531581             14510393.46283440
                   11.41000000             18133178.16311221              9606821.12973990             14510393.46283440
                   11.42000000             17919801.48552150              9999193.82914775             14510393.46283440
                   11.43000000             17697935.79907513             10386829.68785750             14510393.46283440
                   11.44000000             17467686.20648750             10769545.07413416             14510393.46283440
                   11.45000000             17229161.78211595             11147158.68718008             14510393.46283440
                   11.46000000             16982475.52028984             11519491.64302114             14510393.46283440
                   11.47000000             16727744.28178261             11886367.55924807             14510393.46283440
                   11.48000000             16465088.73845223             12247612.63857278             14510393.46283440
                   11.49000000             16194633.31607626             12603055.75115991             14510393.46283440
                   11.50000000             15916506.13540860             12952528.51569494             14510393.46283440
                   11.51000000             15630838.95148581             13295865.37915011             14510393.46283440
                   11.52000000             15337767.09121184             13632903.69521056             14510393.46283440
                   11.53000000             15037429.38925065             13963483.80132357             14510393.46283440
                   11.54000000             14729968.12225715             14287449.09433421             14510393.46283440
                   11.55000000             14415528.94147756             14604646.10467177             14510393.46283440
                   11.56000000             14094260.80375120             14914924.56905170             14510393.46283440
                   11.57000000             13766315.90094631             15218137.50165868             14510393.46283440
                   11.58000000             13431849.58786336             15514141.26377708             14510393.46283440
                   11.59000000             13091020.30864005             15802795.63183578             14510393.46283440
                   11.60000000             12743989.52169275             16083963.86383523             14510393.46283440
                   11.61000000             12390921.62323013             16357512.76412519             14510393.46283440
                   11.62000000             12031983.86937492             16623312.74650243             14510393.46283440
                   11.63000000             11667346.29693105             16881237.89559865             14510393.46283440
                   11.64000000             11297181.64283337             17131166.02652936             14510393.46283440
                   11.65000000             10921665.26231834             17372978.74277558             14510393.46283440
                   11.66000000             10540975.04585436             17606561.49227091             14510393.46283440
                   11.67000000             10155291.33487111             17831803.62166742             14510393.46283440
                   11.68000000              9764796.83632772             18048598.42875457             14510393.46283440
                   11.69000000              9369676.53616054             18256843.21300642             14510393.46283440
                   11.70000000              8970117.61165108             18456439.32423319             14510393.46283440
                   11.71000000              8566309.34275601             18647292.20931402             14510393.46283440
                   11.72000000              8158443.02244102             18829311.45698891             14510393.46283440
                   11.73000000              7746711.86606111             19002410.84068852             14510393.46283440
                   11.74000000              7331310.91983014             19166508.35938164             14510393.46283440
                   11.75000000              6912436.96842309             19321526.27642089             14510393.46283440
                   11.76000000              6490288.44175485             19467391.15636830             14510393.46283440
                   11.77000000              6065065.32097946             19604033.89978332             14510393.46283440
                   11.78000000              5636969.04375465             19731389.77595677             14510393.46283440
                   11.79000000              5206202.40881630             19849398.45357519             14510393.46283440
                   11.80000000              4772969.47990819             19958004.02930116             14510393.46283440
                   11.81000000              4337475.48911246             20057155.05425590             14510393.46283440
                   11.82000000              3899926.73962659             20146804.55839184             14510393.46283440
                   11.83000000              3460530.50803297             20226910.07274328             14510393.46283440
                   11.84000000              3019494.94610743             20297433.64954497             14510393.46283440
                   11.85000000              2577028.98221303             20358341.88020874             14510393.46283440
                   11.86000000              2133342.22232611             20409605.91114992             14510393.46283440
                   11.87000000              1688644.85074122             20451201.45745596             14510393.46283440
                   11.88000000              1243147.53050220             20483108.81439065             14510393.46283440
                   11.89000000               797061.30360635             20505312.86672879             14510393.46283440
                   11.90000000               350597.49102917             20517803.09591653             14510393.46283440
                   11.91000000               -96032.40738311             20520573.58505430             14510393.46283440
                   11.92000000              -542616.81310568             20513623.02169974             14510393.46283440
                   11.93000000              -988944.16916465             20496954.69848943             14510393.46283440
                   11.94000000             -1434803.04035626             20470576.51157913             14510393.46283440
                   11.95000000             -1879982.21340849             20434500.95690317             14510393.46283440
                   11.96000000             -2324270.79703743             20388745.12425486             14510393.46283440
                   11.97000000             -2767458.32185122             20333330.68919064             14510393.46283440
                   11.98000000             -3209334.84005405             20268283.90276194             14510393.46283440
                   11.99000000             -3649691.02490315             20193635.57907944             14510393.46283440
                   12.00000000             -4088318.26987150             20109421.08071575             14510393.46283440
                   12.01000000             -4525008.78746937             20015680.30195334             14510393.46283440
                   12.02000000             -4959555.70767791             19912457.64988581             14510393.46283440
                   12.03000000             -5391753.17594806             19799802.02338115             14510393.46283440
                   12.04000000             -5821396.45071847             19677766.78991738             14510393.46283440
                   12.05000000             -6248282.00040606             19546409.76030106             14510393.46283440
                   12.06000000             -6672207.59982354             19405793.16128114             14510393.46283440
                   12.07000000             -7092972.42597796             19255983.60607070             14510393.46283440
                   12.08000000             -7510377.15320500             19097052.06279078             14510393.46283440
                   12.09000000             -7924224.04759401             18929073.82085126             14510393.46283440
